QUESTION,BT LEVEL,BT LEVEL (REVISED)
Explain the idea of MIDI file format in storing and playback of audio data.,Comprehension,Understand
Explain how MIDI file format will be more useful than other audio file formats in a certain scenario.,Application,Apply
Propose a multimedia presentation for UTAR to promote bachelor's degree courses to potential applicants.,Synthesis,Create
Apply the zero length suppression on the token stream.,Application,Apply
Apply the run length encoding on the token stream.,Application,Apply
"From your opinion, explain which one of the methods mentioned earlier is better for the given token stream.",Analysis,Analyze
Explain why 3D animation requires much time consuming and complicated in the development phase compared to 2D animation.,Analysis,Analyze
Predict the challenge to implement an augmented  reality  application  in  UTAR campus.,Application,Apply
Design  a possible website structure to teach writing skills to children aged 4-6. There should be at least 3 components.,Synthesis,Create
Explain why lossy compression gives better compression.,Comprehension,Understand
Outline THREE (3) uses of digital audio in the multimedia presentation.,Knowledge,Remember
Briefly discuss how spatial compression is different from temporal compression.,Comprehension,Understand
Suggest how multimedia applications may  be used for each of the scenarios below. (i) IT Avenue will be organising a road show at various shopping malls to promote a new model of mobile phone from Nokia.,Application,Apply
Explain why a less experienced multimedia developer (including non-programmers) always opts for multimedia authoring tools to easily create an interactive application.,Comprehension,Understand
Explain whether Howard can have the video streamed effectively at 1 Mbps data rate on a 1 Mbps Internet  connection.,Evaluation,Evaluate
Suggest any THREE (3) scenarios where users  may benefit from using video calls in their communication.,Synthesis,Create
Compare this piece of music with the music recorded in CD quality. ,Comprehension,Understand
"Audio plays an important role in the development of multimedia. Illustrate the relations that exist between Wavelength, Frequency and Pitch of a digital audio.",Comprehension,Understand
"Video got its start on cathode ray tube television systems, but has moved on to be used in many more applications. Relate the video transmission on television sets and computer monitors with interlacing and progressive  scan techniques",Analysis,Analyze
Fill in the detail of typeface properties base on the following illustration.,Knowledge,Remember
Distinguish the difference between low pass filter and high pass filter.,Analysis,Analyze
Explain what is meant by the term Interactivity.,Comprehension,Understand
Highlight  THREE  (3) differences  between  bitmap  images  and  vector  graphics.,Comprehension,Understand
"Considering linear multimedia and interactive multimedia, suggest the best solution to the shopping mall's management.",Synthesis,Create
"Nancy  intends  to  include  text  for  her  multimedia  presentation.  As a multimedia specialist, provide TWO (2) guidelines to Nancy when working with text.",Knowledge,Remember
"Based  on  your  understanding,  highlight  THREE  (3)  differences  between vector graphics and bitmap images.",Comprehension,Understand
Recommend THREE (3) factors to be  taken  into  consideration  on  the preparation of digital video delivery via low bandwidth networks and low-end computer systems.,Synthesis,Create
"Briefly  explain  why  authoring  software  is considered  as  ""high level  tools"" whereas programming languages are known as ""low level tools"".",Comprehension,Understand
Explain why VLE could be better than RLE for this case.,Comprehension,Understand
Calculate the number of bytes required to store a minute of stereo sound at DVD quality with the resolution of 32 bits. Show your working and calculation.,Application,Apply
Discuss any TWO (2) application areas where multimedia can be used in education environment.,Application,Apply
Explain the usage of multimedia in healthcare.,Application,Apply
Discuss  any THREE  (3) negative  impacts  of entertainment  media to our society.,Comprehension,Understand
Discuss  ONE  (1) similarity  and  ONE  (1) difference  between  virtual  reality and augmented reality.,Analysis,Analyze
Name the keyword in an ABAP program that can be used to invoke the debugging mode.,Knowledge,Remember
Write an ABAP program that allows the user to key in a positive integer value.,Synthesis,Create
Provide   (with  explanations)   THREE  (3)  differences Programming and System Programming.,Comprehension,Understand
Write a Java loop that will display the phrase one  more time four times. Include any declarations or initializing statements that are needed.,Comprehension,Understand
Write a Java program that lets the user enter a year and checks whether it is a leap year.,Synthesis,Create
Give the difference between parameter and formal parameter.,Comprehension,Understand
Rewrite the following program so that it is formatted properly.,Application,Apply
Rewrite the following if statement using a switch statement.,Application,Apply
Use Java math class and write the java statement for d = 2 * 2 + y * 2.           ,Application,Apply
Compute the distance between the two points with the following formula.,Application,Apply
Detect error(s) in the following segment of codes and rewrite the codes with correction of the error(s).,Comprehension,Understand
Explain how the increment or decrement operators affect the result of p.,Comprehension,Understand
Explain the concept of narrowing conversion. Indicate in code how the conversion is done.,Comprehension,Understand
Give the three (3) categories of primitive data types and briefly explain what each category is used for.,Knowledge,Remember
